proj	ts	deg	stage	art	seq	rid	pass	cls	esc	rat
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-COH-CALLER-DRIFT	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-COH-COMMENT-MISMATCH	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-COH-CONFIG-DANGLING	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-COH-DEAD-IMPORT	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-COH-REGISTRY-MISSING	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-COH-TASK-CONTRADICTION	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-L1	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-L2	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-L3	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-S1	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-S2	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-S3	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-SEM	1	blocking	0	-
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	R-X	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-COH-CALLER-DRIFT	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-COH-CONFIG-DANGLING	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-COH-DEAD-IMPORT	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-COH-REGISTRY-MISSING	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-COH-TASK-CONTRADICTION	0	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-L1	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-L2	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-L3	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-S1	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-S2	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-S3	1	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-SEM	0	blocking	0	-
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	R-X	0	blocking	0	-
assistente-pessoal	2026-08-26T13:47:41Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-CALLER-DRIFT	1	blocking	0	-
