proj	ts	deg	stage	art	seq	rid	pass	cls	esc	rat
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-AC-TASK-DECOUPLED	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-ACTION-VALIDATE-CONTRADICTION	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-FILES-UNTOUCHED	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-MANDATORY-READING-IRRELEVANT	1	advisory	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-MANDATORY-READING-MISSING	1	advisory	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-OTHER-INTERNAL-CONTRADICTION	1	advisory	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-PATTERN-SOURCE-MISSING	1	advisory	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-TASK-AC-MISSING	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-VALIDATE-ALWAYS-PASS	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-VALIDATE-FORBIDDEN-GREP-SCOPE	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-VALIDATE-FRAMEWORK-MISMATCH	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-VALIDATE-PATTERN-UNGROUNDED	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R-COH-VALIDATE-SEARCH-AMBIGUOUS	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R1	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R2	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R3	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R4	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R5	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R6	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R7	1	blocking	0	-
assistente-pessoal	-	1	plan-review	google-calendar-read-phase-2-consent-credential-revocation	2	R8	1	blocking	0	-
