proj	ts	feat	phase	stage	outcome	halt	bud_prr	bud_min	natt	ms	suite_ms	corr_ms
assistente-pessoal	-	data-export	1	code_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	1	implement	APPROVED	-	2	240	1	-	-	-
assistente-pessoal	-	data-export	1	plan	APPROVED	-	2	240	2	-	-	-
assistente-pessoal	-	data-export	1	tdd	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	1	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	1	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	1	worktree	CREATED	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	2	code_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	2	implement	APPROVED	-	2	240	1	-	-	-
assistente-pessoal	-	data-export	2	plan	APPROVED	-	2	240	2	-	-	-
assistente-pessoal	-	data-export	2	tdd	APPROVED	-	2	240	2	-	-	-
assistente-pessoal	-	data-export	2	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	2	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	3	code_review	APPROVED	-	2	240	2	-	-	-
assistente-pessoal	-	data-export	3	implement	APPROVED	-	2	240	1	-	-	-
assistente-pessoal	-	data-export	3	manual_verification	COMPLETE	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	3	plan	APPROVED	-	2	240	2	-	-	-
assistente-pessoal	-	data-export	3	tdd	APPROVED	-	2	240	2	-	-	-
assistente-pessoal	-	data-export	3	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	3	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	4	code_review	APPROVED	-	2	240	2	-	-	-
assistente-pessoal	-	data-export	4	implement	APPROVED	-	2	240	2	-	-	-
assistente-pessoal	-	data-export	4	plan	APPROVED	-	2	240	1	-	-	-
assistente-pessoal	-	data-export	4	tdd	APPROVED	-	2	240	1	-	-	-
assistente-pessoal	-	data-export	4	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	data-export	4	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	install-and-quick-capture	-	test	ABORT_INFRA	-	-	-	-	0	-	-
assistente-pessoal	-	push-channel-proven	1	complete	complete	-	2	240	-	-	-	-
assistente-pessoal	-	push-channel-proven	2	complete	complete	-	2	240	-	-	-	-
assistente-pessoal	-	push-channel-proven	3	complete	complete	-	2	240	-	-	-	-
assistente-pessoal	-	push-channel-proven	4	complete	complete	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	-	docs_sync	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	-	test	GREEN	-	-	-	-	-	-	-
assistente-pessoal	-	reminders	1	implement	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	1	plan	CHANGES_REQUESTED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	1	plan	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	1	tdd	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	1	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	1	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	1	worktree	CREATED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	2	implement	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	2	plan	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	2	tdd	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	2	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	2	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	2	worktree	CREATED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	dispute	DISPUTE_UPHELD_TEST_WRONG	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	implement	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	plan	CHANGES_REQUESTED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	plan	CHANGES_REQUESTED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	plan	CHANGES_REQUESTED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	plan	HALT:FAILED_PLAN_REVIEW_BUDGET_EXCEEDED	FAILED_PLAN_REVIEW_BUDGET_EXCEEDED	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	plan	CHANGES_REQUESTED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	plan	CHANGES_REQUESTED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	plan	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	tdd	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	3	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	4	implement	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	4	plan	CHANGES_REQUESTED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	4	plan	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	4	tdd	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	4	test	GREEN	-	2	240	-	-	-	-
assistente-pessoal	-	reminders	4	test_review	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	1	implement	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	1	plan	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	1	row_status_flip	OK	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	1	row_status_flip	OK	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	1	tdd	APPROVED	-	2	240	-	-	-	-
assistente-pessoal	-	task-detail-and-dates	1	test	GREEN	-	2	240	-	-	-	-
