proj	ts	deg	stage	art	seq	feat	phase	verdict	action	nrub	nfail	nblk	nadv	nesc
assistente-pessoal	2026-09-04T19:36:00Z	0	code-review	data-export-phase-1-the-dump-and-its-guard	1	data-export	1	APPROVED	final_flip	13	0	0	0	0
assistente-pessoal	2026-09-04T20:24:00Z	0	code-review	data-export-phase-2-the-calendar-file	1	data-export	2	APPROVED	final_flip	13	0	0	0	0
assistente-pessoal	2026-09-05T11:40:00Z	0	code-review	data-export-phase-3-the-button	1	data-export	3	CHANGES_REQUESTED	rubric_fail	13	1	1	0	0
assistente-pessoal	2026-09-05T11:55:00Z	0	code-review	data-export-phase-3-the-button	2	data-export	3	APPROVED	final_flip	13	0	0	0	0
assistente-pessoal	2026-09-07T02:29:50Z	0	code-review	data-export-phase-4-the-unattended-copy	1	data-export	4	CHANGES_REQUESTED	rubric_fail	13	1	1	0	0
assistente-pessoal	2026-09-07T02:45:00Z	0	code-review	data-export-phase-4-the-unattended-copy	2	data-export	4	APPROVED	final_flip	13	0	0	0	0
assistente-pessoal	2026-09-03T18:06:34Z	0	code-review	google-calendar-read-phase-4-the-day-whole	1	google-calendar-read	4	CHANGES_REQUESTED	rubric_fail	8	2	2	0	0
assistente-pessoal	2026-09-07T20:25:48Z	0	code-review	push-channel-proven-phase-1-push-send-spike	1	push-channel-proven	1	CHANGES_REQUESTED	rubric_fail	14	2	2	0	0
assistente-pessoal	2026-09-07T20:31:55Z	0	code-review	push-channel-proven-phase-1-push-send-spike	2	push-channel-proven	1	APPROVED	final_flip	14	0	0	0	0
assistente-pessoal	2026-09-07T21:38:43Z	0	code-review	push-channel-proven-phase-2-subscription-lifecycle	1	push-channel-proven	2	APPROVED	final_flip	13	0	0	0	0
assistente-pessoal	2026-09-07T23:08:54Z	0	code-review	push-channel-proven-phase-3-cron-heartbeat	1	push-channel-proven	3	APPROVED	final_flip	13	0	0	0	0
assistente-pessoal	2026-09-08T00:31:27Z	0	code-review	push-channel-proven-phase-4-notifications-settings	1	push-channel-proven	4	CHANGES_REQUESTED	rubric_fail	15	3	3	0	0
assistente-pessoal	2026-09-08T00:44:11Z	0	code-review	push-channel-proven-phase-4-notifications-settings	2	push-channel-proven	4	APPROVED	final_flip	16	0	0	0	0
assistente-pessoal	2026-09-08T01:51:53Z	0	code-review	push-channel-proven-phase-4-notifications-settings	3	push-channel-proven	4	APPROVED	final_flip	14	0	0	0	0
assistente-pessoal	2026-09-09T22:36:56Z	0	code-review	reminders-phase-1-reminder-api-and-the-time-contract	1	reminders	1	APPROVED	final_flip	13	0	0	0	0
assistente-pessoal	2026-09-09T23:00:35Z	0	code-review	reminders-phase-2-the-due-reminder-sweep	1	reminders	2	APPROVED	final_flip	13	0	0	0	0
assistente-pessoal	2026-09-10T02:22:51Z	0	code-review	reminders-phase-3-per-task-route-and-reminder-ui	1	reminders	3	APPROVED	final_flip	1	0	0	0	0
assistente-pessoal	2026-09-10T02:35:42Z	0	code-review	reminders-phase-3-per-task-route-and-reminder-ui	2	reminders	3	APPROVED	final_flip	13	0	0	0	0
assistente-pessoal	2026-09-10T03:20:16Z	0	code-review	reminders-phase-4-deadline-recomputation-and-the-device-proof	1	reminders	4	APPROVED	final_flip	13	0	0	0	0
